(    0.405,-2.78e-17) (     0.18,    0.232) 
(     0.18,   -0.232) (   -0.405,-2.78e-17) 
(    0.405,        0) (    0.181,    0.231) 
(    0.181,   -0.231) (   -0.405,        0) 
(    0.405, 2.78e-17) (    0.183,     0.23) 
(    0.183,    -0.23) (   -0.405, 2.78e-17) 
(    0.405, 2.78e-17) (    0.183,     0.23) 
(    0.183,    -0.23) (   -0.405, 2.78e-17) 
(    0.405,        0) (    0.181,    0.231) 
(    0.181,   -0.231) (   -0.405,        0) 
(    0.405,-2.78e-17) (     0.18,    0.232) 
(     0.18,   -0.232) (   -0.405,-2.78e-17) 
(    0.405,        0) (    0.181,    0.231) 
(    0.181,   -0.231) (   -0.405,        0) 
(    0.405, 2.78e-17) (    0.183,     0.23) 
(    0.183,    -0.23) (   -0.405, 2.78e-17) 
(    0.405,-2.78e-17) (    0.183,     0.23) 
(    0.183,    -0.23) (   -0.405,-2.78e-17) 
(    0.405,        0) (    0.181,    0.231) 
(    0.181,   -0.231) (   -0.405,        0) 
